,español,ingles
1752, emotivo y visual.  Necesitas demostrar que comprendes la situacion por lo menos igual de bien que ellos. Eso requiere ser extremadamente cuida- doso al compartir tu sueño y no insistir en sus beneficios positivos mientras que se ignoran los hechos. Recuerda que cuando Mike Hyatt comunico su sueño de darle la vuelta a su division en Thomas Nelson,emotive and visual. You need to show that you understand the situation at least as well as they do. That requires being extremely careful in sharing your dream and not insisting on its positive benefits while ignoring the facts. Remember that when Mike Hyatt communicated his dream of turning over his division in Thomas Nelson
1753, puso todas las cartas sobre la mesa. Hizo saber a todos que el sabia lo precaria que era la situacion. La segunda cosa que hay que hacer para transferir la vision de modo logico es proveer una estrategia solida. Una buena estrategia siempre desglosa el sueño en partes faciles de manejar. Si un sueño parece demasiado grande e inalcanzable,put all the cards on the table. He let everyone know that he knew how precarious the situation was. The second thing that must be done to transfer vision logically is to provide a solid strategy. A good strategy always breaks down the dream into easy-to-manage parts. If a dream seems too big and unattainable
1754, las personas se desalientan y pierden el interes rapidamente. Cuando los sueños grandes se des- componen en partes pequeñas y cada parte se entrega a campeones  137  !-Vive tu sueño!  individuales,People become discouraged and lose interest quickly. When big dreams are broken down into small parts and each part is given to champions 137! -Live your dream! individual
1755, las tareas parecen ser mas alcanzables y cada participante desarrolla un sentido mayor de posesion y participacion personal. Existe un verdadero arte para comunicar toda esta informacion de modo eficaz sin ser abrumado por los deralles ni aburrir a la gente. Hay que dar suficiente informacion para satisfacer a la mayoria de los individuos,the tasks seem to be more attainable and each participant develops a greater sense of personal possession and participation. There is a real art to communicate all this information effectively without being overwhelmed by the deralles or bored people. Sufficient information must be given to satisfy most individuals
1756, pero no tanta que los pierdas. Requiere habilidad y practica. Para rransferir la vision,but not so much that you lose them. It requires skill and practice. To transfer the vision
1757, hay que aprender a hacerlo.  2. TRANSFIERE EL SUEÑO DE MODO EMOTIVO  Cuando puedes presentar tu sueño de modo logico,You have to learn to do it. 2. TRANSFER THE SLEEP IN AN EMOTIVE MODE When you can present your dream in a logical way
1758, las personas frecuentemente dejan de resistirse a el. Eso no significa que daran un paso al frente para adoptarlo. Para hacer que se conecten con tu sueño,people often stop resisting him. That does not mean that they will step forward to adopt it. To make them connect with your dream
1759, es necesario establecer una conexion emotiva con ellos. Lo que la gente no siente,It is necessary to establish an emotional connection with them. What people do not feel
1760, no adopta. Esta es la manera en la cual puedes conectat a las personas con tu sueño a nivel emotivo:  Muestrales el sueño desde la perspectiva de ellos. Se ha dicho que el gran filosofo y poeta Ralph Waldo Emerson y su hijo lucharon y se esforzaron para tratar de meter a un ternero en su granero. Bañados de sudor y habiendo agotado todas sus ideas,does not adopt. This is the way in which you can connect people with your dream on an emotional level: Show them the dream from their perspective. It has been said that the great philosopher and poet Ralph Waldo Emerson and his son fought and struggled to try to put a calf in his barn. Bathed in sweat and having exhausted all your ideas
1761, estaban a punto de darse por vencidos cuando una sirvienta irlandesa se acerco. Camino hasta el ternero,They were about to give up when an Irish maid approached. I walk to the calf
1762, metio un dedo en la boca del animal y el ternero,put a finger in the mouth of the animal and the calf
1763, asociando la sensacion con su madre,associating the sensation with his mother
1764, pacificamente siguio a la joven hasta el gtanero.  Las personas no son muy diferentes a ese ternero,He peacefully followed the girl to the gtanero. People are not very different from that calf
1765, puedes empu- jarlas y darles de pinchazos pero nunca lograr que hagan lo que quieres. No obstante,You can push them and puncture them but never get them to do what you want. However
1766, si les ayudas a sentir que se beneficiaran,if you help them feel that they will benefit
1767, es  3  La pregunta del personal:  He incluido a las personas que necesito para convettir mi sueño en realidad!  Muestrales tu corazon. Tan solo porque la gente quiera saber que provecho hay para ellos cuando compartes tu sueño,en 3 The question of the staff: I have included the people I need to convert my dream into reality! Show them your heart Just because people want to know what benefit there is for them when you share your dream
1768, no significa que no les interesa lo que significa para ti. La gente adopta al soñador antes de adoptar el sueño. Para transferirlo de modo emotivo,It does not mean that you do not care what it means to you. People adopt the dreamer before adopting the dream. To transfer it emotionally
1769, es necesario que permitas que la gente vea tu corazon y tus esperanzas. Compartir tu corazon cuenta tu historia; compartir tus esperanzas cuenta la historia de tu sueño y como impactara el futuro.   P=!il ====_. - -  La gente adopta al soñador antes de adoptar el sueño.  \'39  !-Vive tu sueño!  140  probable que te sigan. Las personas hacen las cosas por sus propias razones,It is necessary that you allow people to see your heart and your hopes. Sharing your heart tells your story; Sharing your hopes tells the story of your dream and how it will impact the future. P =! Il ==== _. - - People adopt the dreamer before adopting the dream. \ '39! -Live your dream! 140 likely to follow you. People do things for their own reasons
1770, no por las tuyas ni las mias; y sus razones casi siempre estan vinculadas con sus emociones. Me encanta la historia de Michael Faraday,not yours or mine; and their reasons are almost always linked to their emotions. I love the story of Michael Faraday
1771, inventor del primer motor electrico,inventor of the first electric motor
1772, cuando presento su nuevo aparato al Primer Ministro britanico William Gladstone. El esperaba obtenet apoyo del gobierno y mosrro un modelo un tanto rustico de su invento: un alambre enrollado alrededor de un iman. Gladstone mostro poco interes.   Para que sirve?  pregunto el estadista a Faraday.  Un dia podras cobrar impuestos por el  respondio el cien- tifico. Faraday pudo habet explicado los principios de fisica tras su invento; pudo haber explicado sus aplicaciones practicas; en lugar de ello,when I present his new device to the British Prime Minister William Gladstone. He expected government support and showed a somewhat rustic model of his invention: a wire wrapped around a magnet. Gladstone showed little interest. What is it for? the statesman asked Faraday. One day you can collect taxes for the scientist answered. Faraday could have explained the principles of physics after his invention; He could have explained his practical applications; in stead of
1773, apelo a los intereses del politico. No se si esa historia es cierta,I appeal to the interests of the politician. I do not know if that story is true
1774, sin embargo nos enseña una verdad. Si quieres persuadir a otras personas de tus sueños,"however, it teaches us a truth. If you want to persuade other people of your dreams"
1775, necesitas hablar en el idioma de sus intereses,you need to speak in the language of your interests
1776, no de los tuyos.  Es posible que comuniques la idea de tu sueño en cuestion de minutos,not of yours. It is possible that you communicate the idea of your dream in a matter of minutes
1777, pero te tomara mucho mas tiempo convencer a los demas de donde se encuentra tu corazon. Requiere de paciencia de tu parte; esperar a que las personas se conecten a nivel del corazon no es señal de debilidad; es señal de sabiduria. La fortaleza no consiste en correr adelante,But it will take you much longer to convince others about where your heart is. It requires patience on your part; waiting for people to connect at the level of the heart is not a sign of weakness; It is a sign of wisdom. Strength does not consist in running forward
1778, sino en adaptar tu paso al ritmo lento de los demas mientras continuas guiando. Si corremos demasiado al frente,but to adapt your pace to the slow rhythm of others while continuing to guide. If we run too much in front
1779, perdemos nuestro poder para influir sobre los demas.  Los expertos en mercadeo y ventas dicen que las personas por lo general necesitan escuchar una idea siete veces antes de adoptarla y hacerla suya. El tiempo necesario para esta posesion varia,we lose our power to influence others. Marketing and sales experts say that people usually need to hear an idea seven times before adopting it and making it their own. The time required for this possession varies
1780, segun cada persona. Hablando en terminos generales... 10 por ciento de las personas son pioneras,according to each person. Generally speaking ... 10 percent of people are pioneers
1781, 70 por ciento son sedentarias,70 percent are sedentary
1782, y 20 por ciento son antagonistas. Proponte como meta ganarte a los pioneros y esperar a los sedentarios. Si comunicas tu corazon bien,and 20 percent are antagonists. Propose as a goal to win the pioneers and wait for the sedentary. If you communicate your heart well
1783, lo vives con integridad y esperas al tiempo correcto,you live with integrity and wait for the right time
1784, tu sueño obtendra credibilidad y pasara de ser una buena idea a ser una idea magnifica ante sus ojos. Cuando estes listo para avanzar,your dream will obtain credibility and will go from being a good idea to being a magnificent idea before your eyes. When you are ready to move forward
1785, hazlo con ese 80 por ciento y deja atras a los antagonistas.  Muestrales los beneficios. El autor y comentarista social StudsTerkel observo: Creo que la mayoria de nosotros,do it with that 80 percent and leave the antagonists behind. Show them the benefits. The author and social commentator StudsTerkel observed: I think most of us
1786, tal como los trabajado- res de la linea de ensamblaje,just like the assembly line workers
1787, tenemos empleos que son demasiado pequeños para nuestro espiritu. Los empleos no son suficientemente grandes pata la gente. No obstante,We have jobs that are too small for our spirit. Jobs are not big enough for people. However
1788, los sueños si lo son. Un sueño grande beneficia a todos. Tu tarea es ayudar a que los demas vean los beneficios. Necesiras ayudarles a conectarse con las  La pregunta del personal:  He incluido a las personas que necesito para convertir mi sueño en re;  oportunidades de crecimiento personal,the dreams are. A big dream benefits everyone. Your task is to help others see the benefits. You will need to help them connect with them. The staff question: I have included the people I need to turn my dream into re; personal growth opportunities
1789, de hallar satisfaccion y de aumentar su autoestima. Necesitas brindarles todas las razones que tienes para que se unan a ti,to find satisfaction and to increase their self-esteem. You need to give them all the reasons you have for them to join you
1790, y si no puedes ofrecer una cantidad abundante de razones por las cuales ellos debieran participar contigo,and if you can not offer a plentiful number of reasons why they should participate with you
1791, nada tienes que hacer tratando de reclutarlos para tu equipo.  3. TRANSFIERE EL SUEÑO DE MODO VISUAL  Una vez que has logrado que las personas comprendan tu sueño logicamente y que se conecten con el emotivamente,Nothing you have to do trying to recruit them for your team. 3. TRANSFER THE SLEEP VISUALLY Once you have achieved that people understand your dream logically and that they connect with the emotionally
1792, el paso final para transferirlo consiste en hacerlo real para ellos visualmente. En realidad lo que necesitas es darle vida.  Por que? Porque lo que la gente no ve,The final step to transfer is to make it real for them visually. Actually what you need is to give it life. Why? Because what people do not see
1793, no lo adopta. El novelista Leo Tolstoy dijo: No debemos mostrar la vida ni como es ni como debe ser,do not adopt it. The novelist Leo Tolstoy said: We should not show life as it is or as it should be
1794, sino solo como la vemos en nuestros sueños. Eso podemos lograrlo pintando cuadros verbales,but only as we see it in our dreams. We can do that by painting verbal pictures
1795, podemos hacerlo usando fotografias o filme,we can do it using photographs or film
1796, pero la imagen mas convincente la proyectamos cuando vivimos lo que buscamos comunicar.  No debemos mostrar la vida ni como es ni como debe ser,but the most convincing image is projected when we live what we seek to communicate. We must not show life or how it is or how it should be
1797, sino solo como la vemos en nuestros sueños.  L  LEO TOLSTOY J  Con toda honestidad,but only as we see it in our dreams. L LEO TOLSTOY J In all honesty
1798, las personas pueden resistirse a adoptat un sueño grande. Aun las personas que dicen que desean un sueño,People can resist adopting a big dream. Even people who say they want a dream
1799, frecuentemente no lo quieren en realidad. Lo que quieren son los resultados del sueño. Observa todos los comerciales de las dietas y productos de dieta. Las personas ven las imagenes de antes y despues y quieren el despues. En realidad no les interesa el proceso que se  141  !-Vive tu sueño!  142  necesita para llegar alli. Si les interesara,"often they do not really want it. What they want are the results of the dream. Observe all commercials of diets and diet products. People see the images before and after and want the later. Actually, they are not interested in the process that is 141! -Live your dream! 142 needs to get there. If you were interested"
1800, habria menos gente obesa. Sin embargo,there would be less obese people. But nevertheless
1801, si vivimos nuestro sueño,if we live our dream
1802, ponemos la integridad en practica y logramos una medida de exito,we put integrity into practice and achieve a measure of success
1803, la gente podra ver lo que el sueño ha hecho por nosotros,people can see what the dream has done for us
1804, y eso hara que lo deseen tambien. Si haces todo lo que esta a tu alcance para vivir tu sueño,And that will make them want it too. If you do everything in your power to live your dream
1805, te conviertes en un anuncio viviente del mismo,you become a living announcement of it
1806, y pocas cosas son mas convincen- tes para los demas que eso.  Si logras transferir tu sueño con exito,and few things are more convincing to others than that. If you succeed in transferring your dream successfully
1807, entonces lo sabras. Las personas disfrutaran ser parte de tu equipo,then you will know. People will enjoy being part of your team
1808, se serviran unos a otros y a ti con gozo,they will serve each other and you with joy
1809, añadiran valor al equipo al contribuir con su crea- tividad,they will add value to the team by contributing their creativity
1810, y se haran responsables de lograr las cosas por si solos. Si haces una labor suficientemente buena de transferir la vision,and they will be responsible for achieving things on their own. If you do a sufficiently good job of transferring the vision
1811, las personas eventualmente tomaran posesion del sueño. Pero no tendras que aferrarte a el para que eso pueda suceder. Lo que realmente es poderoso es que el equipo no solo te ayudara a convertir el sueño en realidad,people will eventually take possession of the dream. But you will not have to cling to him for that to happen. What is really powerful is that the team will not only help you turn the dream into reality
1812, sino que sus miembros le añadiran elementos para hacerlo mas grande y mejor aun. Cuando eso sucede,but its members will add elements to make it bigger and better yet. When that happens
1813, el sueño se torna mas grande que tu o que el equipo.  Recorde lo que sucede cuando un equipo adopta un sueño por medio de una cita de uno de mis heroes,the dream becomes bigger than you or the team. Remember what happens when a team adopts a dream by means of a quote from one of my heroes
1814, John Wooden,John Wooden
1815, el antiguo entrenador del equipo de baloncesto de UCLA. Dice:  Durante mis años de entrenador y desde aquella epoca,the former coach of the UCLA basketball team. It says: During my years as coach and since that time
1816, me he pro- puesto abstenerme de referirme a los Bruins de UCLA como mi equipo,I have intended to refrain from referring to the UCLA Bruins as my team
1817, y a los individuos que lo componian como mis jugado- res. Segui la misma politica cuando fui entrenador en el Indiana State Teachers College y en South Bend Central High School. Cuando me preguntaban:  Como hizo para ganar ese juego,and the individuals who composed it as my players. I followed the same policy when I was a coach at Indiana State Teachers College and South Bend Central High School. When they asked me: How did you win that game?
1818, entrenador?,coach?
1819, corregia al reportero y le decia: No gane el juego.  La pregunta del personal:  He incluido alas personas que necesito para convertir mi sueño en rcalldlE!  El entrenador Wooden transfirio su sueño de integridad y exce- lencia a todos los que jugaron baloncesto para el. Lo hizo dando razones logicas tras todo lo que tenian que hacer los jugadores,He corrected the reporter and said: Do not win the game. The staff question: I have included the people that I need to turn my dream into rcalldlE! Coach Wooden transferred his dream of integrity and excellence to all those who played basketball for him. He did it by giving logical reasons after all the players had to do
1820, ayudando a conectarse con ello emotivamente,helping to connect with it emotionally
1821, y mostrandoselos visualmente al vivirlo delante de ellos todos los dias. Y debido a que aquellos jugadores adoptaron su vision y sus sueños,and showing them visually by living it in front of them every day. And because those players adopted their vision and their dreams
1822, llegaron a ver cumplidos muchos de los suyos propios.  PRESENTADOR DE SUEÑOS  Por años he estudiado a grandes lideres y comunicadores para aprender como compartian sus sueños e invitaban a otros a adop- tarlos. Nadie hizo eso mejor que Winston Churchill. Un veterano de guerra estadounidense que habia participado en la invasion del Dia D describio su encuentro con Churchill previo al lanzamiento de ese sangriento ataque ofensivo contra los Nazis. Dijo que fue la experiencia mas atemorizanre de su vida. De hecho,they came to see many of their own compliments. PRESENTER OF DREAMS For years I have studied great leaders and communicators to learn how they shared their dreams and invited others to adopt them. Nobody did that better than Winston Churchill. An American war veteran who had participated in the D-Day invasion described his encounter with Churchill prior to the launching of that bloody offensive attack on the Nazis. He said it was the most frightening experience of his life. In fact
1823, dijo,He said
1824, creo que algunos de nosotros no habriamos podido hacer lo que hicimos  \'43  !-Vive tu sueño!  si no hubieramos recibido una visita en particular,I think some of us would not have been able to do what we did \ '43! -Live your dream! if we had not received a particular visit
1825, justo antes de que cruzaramos el Canal Ingles. Aquel visitante fue Churchill,just before we crossed the English Channel. That visitor was Churchill
1826, apenas horas antes de la partida hacia las playas de Normandia. Churchill llego en un jeep,just hours before heading to the beaches of Normandy. Churchill arrived in a jeep
1827, bajo del vehiculo y se entremezclo con las tropas.  Nos dio apretones de manos y aun abrazo a algunos,under the vehicle and intermingled with the troops. He gave us handshakes and still hug some
1828,  recuerda este veterano . Hablo de sus propias experiencias en tiempo de guerra y se identifico con nuestras emociones. Luego,Remember this veteran. I speak of your own experiences in time of war and identified with our emotions. Then
1829, se paro sobre el jeep y nos dio un discurso de cinco minutos. Todo el tiempo que hablo lo hizo con lagrimas en sus ojos.  Y que fue lo que dijo Churchill en esa ocasion,He stopped on the jeep and gave us a five-minute speech. All the time I speak he did it with tears in his eyes. And that was what Churchill said on that occasion
1830, sabiendo que tantos jovenes iban a la batalla y a enfrentar la muerte? Dijo:  Caballeros,knowing that so many young people went to battle and face death? Said: Gentlemen
1831, se que tienen temor Recueido habet sentido temot cuando era soldado. Tuve el privilegio de defender a mi pais por varios años,I know they are afraid. I had felt temot when I was a soldier. I had the privilege of defending my country for several years
1832, a traves de dias tenebrosos cuando no sabiamos si lograriamos la tarea que se nos habia encomendado. Peto este es el momento de ustedes. Contamos con que ustedes estaran a la altura de las circunstancias y lograran todo lo que se han propuesto lograr. El destino del mundo libre pesa sobre sus hombros. Que esta sea su hora mas sublime.   De mas esta decir  comento el veterano ,Through dark days when we did not know if we would accomplish the task entrusted to us. This is your moment. We expect that you will be up to the circumstances and achieve everything you have set out to achieve. The fate of the free world weighs on his shoulders. May this be your most sublime hour. Of more this saying the veteran commented
1833, que nuestro grupo de soldados asustados se convirtio en una banda de hombres listos para enfrentar a cualquiera. Toda vez que dirigio la palabra,that our group of frightened soldiers became a band of men ready to face anyone. Every time he spoke
1834, Churchill inspiraba a sus oyentes. Hablaba la verdad con poder dinamico,Churchill inspired his listeners. He spoke the truth with dynamic power
1835, estableciendo conexiones logicas y emotivas con la gente; con la habilidad de un ling\xfcista expetto,establishing logical and emotional connections with people; with the skill of an expetito ling \ xfcista
1836, pintaba cuadros verbales vividos. (Por ejemplo,he painted vivid verbal pictures. (For example
1837, el fue el creador de la frase cortina de hierro.) Si puedes aprender de  144  Los jugadores lo ganaron. Nuestro equipo anoto mas que el del contrincante. Esto podra ser un asunto secundario,he was the creator of the phrase iron curtain.) If you can learn from 144 The players won it. Our team scored more than the opponent's. This could be a secondary issue
1838, pero para mi es impor- tante poique refleja la idea de que un equipo es posesion de sus miembros. Los Bruins de UCLA no eran mi equipo,but for me it is important because it reflects the idea that a team is the possession of its members. The UCLA Bruins were not my team
1839, eran nuestro w equipo. ,They were our team.
1840,;!-{ Yo era el entrenador principal,;! - {I was the head coach
1841, parte de un equipo cuyos miembros disfrutaban de poseerlo en comun. 2  La pregunta del personal:   He incluido a las personas que necesito para convertit mi sueño en realidad!  SE NECESITA UN SUEÑO PARA LOGRAR UN SUEÑO  Entonces,part of a team whose members enjoyed having it in common. 2 The staff question: I have included the people I need to make my dream come true! YOU NEED A DREAM TO ACHIEVE A DREAM Then
1842,  como respondes a la pregunta del personal?  Has incluido a las personas que necesitas para convertir tu sueño en realidad? No podemos lograr nuestros sueños solos,How do you respond to the staff question? Have you included the people you need to make your dream come true? We can not achieve our dreams alone
1843, y tenemos una deuda de agradecimienro con los que escogen unirsenos para alcanzarlos; dependemos todos los unos de los otros. Como lo afirmo el musico de jazz George Adams: Estamos compuestos por miles de otros. Todos los que nos han hecho un gesto gentil,and we owe a debt of thanks to those who choose to join us to reach them; we depend on each other. As the jazz musician George Adams affirmed: We are composed of thousands of others. All those who have made us a gentle gesture
1844, o nos han dicho una palabra de aliento,or they have told us a word of encouragement
1845, han pasado a formar parte de nuestro caracter y de nuestros pensamientos,They have become part of our character and our thoughts
1846, al igual que de nuestro exito.  El tamaño de tu sueño determina el tamaño de las personas que se sentiran atraidas a el. | JE.<  No se cual es tu sueño. No se que deseas lograr ni a quienes necesitas incluir para ver que se convierta en realidad. Tal vez solo necesites el aliento e interes de un ser humano mas para seguir adelante,as well as our success. The size of your dream determines the size of the people who will feel attracted to it. | JE. <I do not know what your dream is. I do not know what you want to achieve or who you need to include to see that it becomes a reality. Maybe you just need the encouragement and interest of a human being more to move forward
1847, o tal vez necesites un ejercito entero. No importa tu situa- cion,or maybe you need a whole army. No matter your situation
1848, puedo decirte que si necesitas a otros. Cuanto mas grande sea el sueño,I can tell you if you need others. The bigger the dream
1849, tanto mayot es tu necesidad. Sin embatgo,so much mayot is your need. Without interruption
1850, estas son las buenas noticias: El tamaño de tu sueño determina el tamaño de las  145  !-Vive tu sueño!  petsonas que se sentiran attaidas a el. Si tienes un sueño muy grande,This is the good news: The size of your dream determines the size of the 145! -Live your dream! petsonas that will feel attacked to him. If you have a very big dream
1851, tendras un potencial aun mayot de que haya buena gente que te ayude. Lo que necesitas hacer es establecer conexion con ellos,You will have an even greater potential than there are good people to help you. What you need to do is establish connection with them
1852, invi- tarles a unirse a ti,invite them to join you
1853, transferirles la vision y luego dejarlos acruar.  146  comunicadores tales como Churchill y seguir su ejemplo,transfer the vision and then let them grind. 146 communicators such as Churchill and follow his example
1854, los demas comprenderan tu vision y estableceran conexiones contigo. Si vives de modo coherente con lo que dices,the others will understand your vision and establish connections with you. If you live in a manner consistent with what you say
1855, llegaras lejos en tus esfuerzos por ganar a otros a tu causa e incluirlos en tu sueño.   PUEDES RESPONDER AFIRMATIVA-  MENTE A LA PREGUNTA DEL PERSONAL:  HE INCLUIDO A LAS PERSONAS QUE NECESITO PARA CONVERTIR MI SUEÑO EN REALIDAD?  El proceso de reclutar a un equipo que te ayude a lograr tu sueño nunca termina. Aun los que ya han trabajado duro en ello necesi- tan continuar haciendolo.  Por que? Porque los sueños son blancos moviles. Las condiciones cambian constantemente,you will go far in your efforts to win others to your cause and include them in your dream. CAN YOU ANSWER AFFIRMATIVELY TO THE QUESTION FROM THE STAFF: I HAVE INCLUDED THE PEOPLE THAT I NEED TO CONVERT MY DREAM IN FACT? The process of recruiting a team that helps you achieve your dream never ends. Even those who have already worked hard on it need to continue doing so. Why? Because dreams are mobile targets. The conditions change constantly
1856, y tus metas intermedias tambien lo hacen. Segun vas creciendo,and your intermediate goals also do it. As you grow
1857, tus necesidades personales cambiaran tambien,your personal needs will also change
1858, y la realidad es que la gente va y viene; la gente que empieza el viaje contigo rara vez lo termina. Necesitas hacerte la ptegunta:  Quienes forman mi equipo actual? Haz una lista e incluye a colegas,and the reality is that people come and go; the people who start the trip with you rarely finish it. You need to ask yourself the question: Who is my current team? Make a list and include colleagues
1859, mentores,mentors
1860, miembros de tu circulo intimo de amistades,members of your intimate circle of friends
1861, empleados clave,key employees
1862, miembros de tu familia inme- diata,members of your immediate family
1863, amigos cercanos y asi sucesivamente. Despues clasifica esos nombres en las tres categorias de personas que mencione en este capitulo,This chapter
1864, junto con una cuarta categoria:  I* personas que me inspiran <\xa7> personas que me dicen la verdad # personas cuyas habilidades complementan las mias  ,along with a fourth category: I * people who inspire me <\ xa7> people who tell me the truth # people whose skills complement mine
1865, l> personas que no encajan en ninguna de las demas categorias  Ahora,l> people who do not fit into any of the other categories now
1866, evalua sus contribuciones.  Que impacto tienen sobre ri? En primer lugar,Evaluate your contributions. What impact do they have on ri? First
1867,  es positivo o negativo? Escribe un signo positivo o negativo junto al nombre de cada persona. Luego evalua su impacto con un valor numerico,Is it positive or negative? Write a positive or negative sign next to each person's name. Then evaluate its impact with a numerical value
1868, desde -10 hasta +10.  147  Esto es lo que significan sus puntajes:  +6 a 10 Alguien que ayudata a lograr tu sueño; manten a esa persona en tu equipo de ensueño 0 a +5 Alguien que probablemente no contribuira a tu sueño -10 a -1 Alguien que en realidad estorbara el avance hacia tu sueño; retifa a esa persona de tu equipo  Cuando examines tu lista,from -10 to +10. 147 This is what your scores mean: +6 to 10 Someone who helps you achieve your dream; keep that person in your dream team 0 to +5 Someone who probably will not contribute to your dream -10 to -1 Someone who really hindered the progress towards your dream; check out that person from your team When you examine your list
1869, probablemente veras que tienes muy pocas personas en la primera categoria. Eso esta bien,it was category. That's fine
1870, este es el momento de cambiat eso. Empieza a teclutar personas para incor- porarlas a tu equipo de ensueño.  148  CAPITULO 7  La pregunta del costo:  Estoy dispuesto apagar el precio de mi sueño?  Siempre recuerda que la constancia y el esfuerzo siempre anteceden al exito,This is the time to change that. Start to tech people to incorporate them into your dream team. 148 CHAPTER 7 The Cost Question: Am I willing to turn off the price of my dream? Always remember that perseverance and effort always precede success
1871, hasta en el diccionario.   SARAH BAN BREATHNACH  Los sueños son personales; tambien lo son los sacrificios que hay que  hacer para lograrlos. La mayoria de las personas no esta dispuesta a  hacerse la pregunta del costo:  Estoy dispuesto a pagar el precio de  mi sueño? Evitan la pregunta,even in the dictionary. SARAH BAN BREATHNACH Dreams are personal; so are the sacrifices that must be made to achieve them. Most people are not willing to ask the cost question: Am I willing to pay the price of my dream? They avoid the question
1872, evitan el costo y,they avoid the cost and
1873, sin percatarse de ello,without noticing it
1874,  evitan su sueño.  No hay una sola persona en todo el mundo que haya logrado  un sueño sin haber pagado un precio por ello. Algunos pagan con  sus vidas o con su libertad. Otros pagan al abandonar alternativas,They avoid their sleep. There is not a single person in the whole world who has achieved a dream without having paid a price for it. Some pay with their lives or with their freedom. Others pay when leaving alternatives
1875,  finanzas o relaciones personales. Tengo un amigo que aprendio a  calcular el costo,finances or personal relationships. I have a friend who learned how to calculate the cost
1876, quien lo iba a decir,Who was going to say it
1877, con una motocicleta.  149  !-Vive tu sueño!  150  EL PRECIO DE UN SUEÑO  Se llama Kevin Myers,with a motorcycle. 149! -Live your dream! 150 THE PRICE OF A DREAM It's called Kevin Myers
1878, y es el pastor principal de la 12Stone Church en Lawrenceville,and is the senior pastor of 12Stone Church in Lawrenceville
1879, Georgia. Kevin se comprometio a ser ministro a una edad joven,Georgia. Kevin promised to be a minister at a young age
1880, cuando apenas contaba con dieciseis años de edad. Desde su niñez tambien ha sido fanatico de las motocicletas. Compro la primera,when he was barely sixteen years old. Since childhood he has also been a fan of motorcycles. I buy the first
1881, una moto barata de segunda,a second-rate cheap motorbike
1882, casi al final de su adolescencia. Obtuvo otras cuando paso los veinre años de edad,almost at the end of his adolescence. He got others when he was twenty-one years old
1883, y aunque le encantaba conducirlas,and although he loved driving them
1884, nunca habia renido una del tipo que siempre habia soñado: una cruiser.  Kevin ha dedicado su vida al ministerio,I had never had one of the kind I had always dreamed of: a cruiser. Kevin has dedicated his life to ministry
1885, sin embargo es un indi- viduo sumamente emprendedor. Desde su adolescencia soño con iniciar una iglesia de cero y edificarla hasta que fuera una organiza- cion que impactara a la comunidad y sirviera a miles de personas. En 1987,"nevertheless, he is a highly enterprising individual. From his adolescence, he dreamed of starting a church from scratch and building it until it was an organization that would impact the community and serve thousands of people. In 1987"
1886, cuando tenia veintiseis años de edad,when he was twenty-six years old
1887, partio de Michigan a Georgia para fundar la iglesia,He left Michigan for Georgia to found the church
1888, una que existiera para beneficio de las personas que el describe como espiritualmente indecisas. Hizo sacrificios para lograrlo: dejo atras a amigos y familiares,one that exists for the benefit of the people he describes as spiritually indecisive. He made sacrifices to achieve it: he left friends and family behind
1889, dejo una buena posicion en una iglesia y entro en incertidumbres financie- ras. Estaba dispuesto a pagar un precio por su sueño. Pero el costo resulto ser mucho mayor de lo que habia anticipado.  Anticipaba tener un exito rapido,I leave a good position in a church and I enter financial uncertainties. He was willing to pay a price for his dream. But the cost turned out to be much higher than I had anticipated. I anticipated having a quick success
1890, esperando iniciar con 250 personas. Eso representaria una iglesia de buen tamaño,waiting to start with 250 people. That would represent a good size church
1891, capaz de sostenerse a si misma financieramente. En lugar de ello,able to sustain itself financially. In stead of
1892, la iglesia apenas se mantenia a flote. Se inicio con menos de cien personas y permanecio de ese tamaño por seis años. No paso mucho tiempo antes de que a la iglesia se le agotaran todos los fondos que tenia. Luego agotaron el dinero que Kevin y Marcia,the church just kept afloat. It started with less than a hundred people and remained that size for six years. It did not take long before the church ran out of all the funds it had. Then they exhausted the money that Kevin and Marcia
1893, su esposa,his wife
1894, habian  La pregunta del costo:  Estoy dispuesto a pagar el precio de mi sueño? !-Vive tu sueño!  151  apartado previamente para comprarse una casa. Despues acabo con su cuenta personal de ahorros. Perdieron su seguro medico e,There was the cost question: Am I willing to pay the price of my dream? !-Live your dream! 151 previously set aside to buy a house. Then I finish with your personal savings account. They lost their health insurance and
1895, inme- diatamente despues,immediately after
1896, uno de sus hijos enfermo. Las cuentas medicas se acumularon y entraron en deudas. Kevin tuvo que recurrir a hacer trabajos eventuales y trabajo de construccion para sobrevivir. Parecia que su sueño habia muerto. Resulto ser mas de lo que Kevin pudo soportar asi que regreso al jefe que habia tenido en Michigan y le pidio retornar a su antiguo empleo. No obstante su anterior jefe le alento a perseverar un poco mas,"one of his children sick. The medical bills accumulated and went into debt. Kevin had to resort to casual work and construction work to survive. It seemed that his dream had died. It turned out to be more than Kevin could stand, so he returned to the boss he had had in Michigan and asked him to return to his old job. However, his previous boss encouraged him to persevere a bit more"
1897, a seguir trabajando por lograr su sueño. El proceso casi lo quebranto.  CAMBIO DE DESTINO  Luego,to continue working to achieve his dream. The process almost broke it. CHANGE OF DESTINATION Then
1898, en el septimo año,in the seventh year
